ls,Common,"Reveals what is hidden in plain sight."
cd,Common,"Bends space to move between worlds."
pwd,Common,"Knows exactly where it stands."
cat,Common,"Speaks the contents of silence."
echo,Common,"Projects thoughts into the void."
grep,Common,"Finds truth in noise."
touch,Common,"Creates something from nothing."
mkdir,Common,"Builds structure from emptiness."
rm,Common,"Erases without hesitation."
cp,Common,"Clones with quiet precision."
mv,Common,"Rewrites history in place."
chmod,Common,"Alters fate through permissions."
chown,Rare,"Transfers power to new hands."
head,Common,"Skims the surface."
tail,Common,"Watches the end of things."
less,Common,"Views without consuming."
more,Rare,"The ancestor of scrolling."
nano,Common,"A humble gateway to editing."
vim,Epic,"A weapon disguised as an editor."
emacs,Epic,"An operating system within an editor."
tar,Rare,"Bundles history into one."
gzip,Rare,"Compresses reality."
gunzip,Rare,"Restores compressed memory."
zip,Rare,"Seals artifacts for transport."
unzip,Rare,"Unpacks what was sealed."
ssh,Common,"Opens portals to distant machines."
scp,Rare,"Transfers artifacts across realms."
rsync,Epic,"Synchronizes worlds efficiently."
curl,Common,"Speaks HTTP fluently."
wget,Rare,"That's what you w-get!"
ping,Common,"Checks if life exists."
ifconfig,Rare,"Reveals network identity."
ip,Rare,"Modern keeper of network truth."
netstat,Rare,"Maps unseen connections."
ss,Epic,"The faster netstat."
top,Common,"Monitors the living."
htop,Rare,"A colorful pulse monitor."
ps,Common,"Lists the living processes."
kill,Common,"Ends processes decisively."
killall,Rare,"Sweeps them all away."
bg,Rare,"Sends work into the shadows."
fg,Rare,"Returns work to the light."
jobs,Rare,"Lists suspended destinies."
history,Common,"Remembers everything."
alias,Common,"Creates shortcuts through repetition."
unalias,Rare,"Removes false identities."
export,Common,"Shares power with children."
env,Common,"Displays the environment."
printenv,Rare,"Prints environmental secrets."
whoami,Common,"Asks the ultimate question."
who,Rare,"Shows who walks this machine."
uptime,Common,"Measures endurance."
df,Common,"Counts remaining space."
du,Rare,"Weighs directories."
mount,Rare,"Attaches new realms."
umount,Rare,"Detaches mounted worlds."
fdisk,Epic,"Partitions the physical."
mkfs,Epic,"Formats existence itself."
systemctl,Rare,"Commands the system's services."
service,Rare,"Legacy service controller."
apt,Common,"Installs from repositories."
apt-get,Rare,"The old package master."
yum,Rare,"Feeds the system packages."
dnf,Rare,"Next generation package manager."
pacman,Rare,"Arch's relentless installer."
brew,Rare,"macOS package conjurer."
snap,Rare,"Deploys sandboxed packages."
flatpak,Rare,"Installs cross-distro apps."
docker,Epic,"Summons containers from the void."
docker-compose,Epic,"Orchestrates container symphonies."
kubectl,Legendary,"Commands clusters at scale."
make,Epic,"Builds from instructions."
gcc,Epic,"Compiles raw C into reality."
g++,Epic,"Compiles complexity."
clang,Epic,"Alternative compiler forge."
python,Common,"Interprets ideas instantly."
python3,Common,"Modern interpreter of thought."
node,Rare,"Executes JavaScript beyond browsers."
npm,Rare,"Installs the JavaScript universe."
git,Common,"Tracks the evolution of code."
git-clone,Rare,"Copies repositories of knowledge."
git-pull,Rare,"Brings changes from afar."
git-push,Rare,"Shares your changes."
git-rebase,Epic,"Rewrites commit history."
git-cherry-pick,Epic,"Selects commits with precision."
awk,Epic,"Processes text like magic."
sed,Epic,"Streams edits invisibly."
cut,Rare,"Slices text cleanly."
sort,Common,"Orders chaos."
uniq,Rare,"Filters repetition."
wc,Common,"Counts everything."
xargs,Epic,"Builds commands dynamically."
find,Epic,"Excavates files relentlessly."
locate,Rare,"Finds instantly using memory."
tr,Rare,"Transforms characters."
watch,Rare,"Repeats endlessly."
time,Common,"Measures execution itself."
yes,Rare,"Agrees infinitely."
clear,Common,"Wipes the visible slate."
reboot,Legendary,"Restarts the world."
shutdown,Legendary,"Brings the system to rest."
basename,Rare,"Extracts names from paths."
dirname,Rare,"Finds parent paths."
stat,Rare,"Inspects file truth."
file,Rare,"Identifies mysterious formats."
ln,Rare,"Links separate realities."
readlink,Rare,"Reveals symbolic connections."
diff,Rare,"Compares two realities."
patch,Epic,"Applies transformation precisely."
tee,Rare,"Splits output streams."
screen,Epic,"Multiplexes terminals."
tmux,Legendary,"Controls panes of reality."
crontab,Rare,"Schedules destiny."
at,Rare,"Delays execution intentionally."
nohup,Rare,"Persists beyond logout."
lsof,Epic,"Lists open secrets."
strace,Epic,"Traces system whispers."
tcpdump,Legendary,"Captures packets mid-flight."
callate,Legendary,"No lo veo nada de gracioso."
nmap,Legendary,"Scans the unknown."
htpasswd,Rare,"Manages authentication."
adduser,Rare,"Creates new identities."
userdel,Rare,"Removes identities."
groupadd,Rare,"Forms alliances."
passwd,Common,"Changes secret keys."
su,Rare,"Switches identity."
sudo,Common,"Borrows root power."
chroot,Epic,"Changes the root of reality."
lsblk,Rare,"Lists block devices."
blkid,Rare,"Identifies disks."
dd,Legendary,"Copies raw bytes with dangerous power."
watchman,Rare,"Observes file changes."
free,Common,"Reports memory status."
vmstat,Rare,"Reports virtual memory."
iostat,Rare,"Reports IO stats."
mpstat,Rare,"Reports CPU stats."
uptime,Common,"Measures system endurance."
hostname,Common,"Speaks machine identity."
hostnamectl,Rare,"Controls host configuration."
dmesg,Epic,"Reads kernel messages."
journalctl,Epic,"Queries system logs."
logrotate,Rare,"Rotates logs silently."
tarcat,Rare,"Reads from tar archives."
strings,Rare,"Extracts printable sequences."
hexdump,Rare,"Displays binary truth."
xxd,Rare,"Hex viewer and editor."
bc,Rare,"Command-line calculator."
expr,Rare,"Evaluates expressions."
cal,Common,"Displays the calendar."
date,Common,"Tells time precisely."
sleep,Common,"Pauses execution."
factor,Rare,"Finds prime factors."
seq,Common,"Generates sequences."
shuf,Rare,"Shuffles input randomly."
timeout,Rare,"Limits execution time."
reset,Rare,"Restores terminal sanity."
column,Rare,"Formats output neatly."
iconv,Rare,"Converts character encoding."
dos2unix,Rare,"Fixes line endings."
unix2dos,Rare,"Adds carriage returns."
split,Rare,"Splits files into parts."
join,Rare,"Joins lines from files."
paste,Rare,"Merges lines side-by-side."
expand,Rare,"Converts tabs to spaces."
unexpand,Rare,"Converts spaces to tabs."
host,Rare,"Queries DNS."
dig,Rare,"Interrogates DNS deeply."
nslookup,Rare,"Legacy DNS query tool."
arp,Rare,"Displays ARP table."
route,Rare,"Displays routing table."
iptables,Epic,"Controls firewall rules."
ufw,Rare,"Simplifies firewall control."
mountpoint,Rare,"Checks mount status."
eject,Rare,"Ejects removable media."
poweroff,Legendary,"Shuts the system down."
wall,Rare,"Broadcasts messages."
write,Rare,"Writes to another terminal."
mesg,Rare,"Controls write access."
whois,Rare,"Queries domain registration."
finger,Rare,"Looks up user information."
groups,Rare,"Shows group memberships."
id,Common,"Displays user identity."
chgrp,Rare,"Changes group ownership."
install,Rare,"Copies and sets attributes."
statfs,Rare,"Reports filesystem stats."
zcat,Rare,"Views compressed files."
bzcat,Rare,"Views bzip2 files."
xzcat,Rare,"Views xz files."
lscpu,Rare,"Displays CPU info."
lsusb,Rare,"Lists USB devices."
lspci,Rare,"Lists PCI devices."
uptime,Common,"Measures runtime."
arch,Common,"Displays system architecture."
uname,Common,"Reports system information."
watchdog,Legendary,"Monitors system health."
perf,Legendary,"Profiles performance deeply."
agetty,Rare,"Spawns login prompts on terminals."
alsa-info,Rare,"Collects sound system diagnostics."
alsamixer,Rare,"Mixes sound levels interactively."
amixer,Rare,"Controls ALSA from the command line."
anacron,Rare,"Runs scheduled tasks after downtime."
aplay,Rare,"Plays raw audio files."
arecord,Rare,"Records sound input."
arping,Rare,"Pings at the link layer."
atq,Rare,"Lists pending at jobs."
atrm,Rare,"Removes scheduled at jobs."
badblocks,Epic,"Searches disks for corruption."
batch,Rare,"Queues commands for later execution."
bind,Rare,"Configures network bindings."
blkdiscard,Epic,"Discards unused disk blocks."
blkzone,Legendary,"Manages zoned block devices."
bridge,Rare,"Controls network bridges."
chage,Rare,"Modifies user password expiry."
chattr,Epic,"Changes extended file attributes."
chcon,Epic,"Modifies SELinux context."
chmem,Legendary,"Adjusts system memory availability."
chrt,Epic,"Sets process scheduling priority."
cksum,Rare,"Calculates checksums."
clear_console,Rare,"Resets the console."
cmp,Rare,"Compares binary files."
col,Rare,"Filters reverse line feeds."
colcrt,Rare,"Filters CRT control characters."
colrm,Rare,"Removes columns from text."
compgen,Rare,"Generates shell completions."
complete,Rare,"Specifies shell completion rules."
conspy,Legendary,"Spy on virtual consoles."
cpio,Rare,"Copies files to/from archives."
cryptsetup,Legendary,"Configures encrypted volumes."
ctrlaltdel,Legendary,"Defines system reboot behavior."
debugfs,Legendary,"Debugs ext filesystems."
deluser,Rare,"Deletes user accounts."
depmod,Rare,"Generates module dependency lists."
devmem,Legendary,"Reads/writes physical memory."
dmidecode,Epic,"Reads hardware information."
dmsetup,Epic,"Manages device mapper devices."
dosfsck,Epic,"Checks FAT filesystems."
dump,Legendary,"Backs up filesystems at low level."
dumpe2fs,Epic,"Dumps ext filesystem info."
e2fsck,Epic,"Checks ext filesystems."
e2label,Rare,"Labels ext filesystems."
ed,Rare,"The original Unix text editor."
egrep,Rare,"Extended grep (deprecated but remembered)."
envsubst,Rare,"Substitutes environment variables."
ethtool,Rare,"Queries network device settings."
ex,Epic,"Line-based Vim ancestor."
expect,Epic,"Automates interactive programs."
faillog,Rare,"Displays login failure records."
fallocate,Epic,"Preallocates disk space."
fc,Rare,"Edits and re-executes commands."
filefrag,Epic,"Reports file fragmentation."
flock,Rare,"Manages file locks."
fmt,Rare,"Formats text paragraphs."
fold,Rare,"Wraps text lines."
fsck,Epic,"Checks filesystem integrity."
fsfreeze,Legendary,"Suspends filesystem access."
fstrim,Rare,"Discards unused blocks."
ftp,Rare,"Transfers files via FTP."
getcap,Epic,"Gets file capabilities."
getent,Rare,"Queries system databases."
getfacl,Epic,"Gets file ACLs."
getopt,Rare,"Parses command options."
gettext,Rare,"Handles message translation."
groups,Rare,"Displays group memberships."
grpck,Rare,"Verifies group file integrity."
grpconv,Rare,"Converts group files."
grpunconv,Rare,"Reverts group file conversion."
hd,Rare,"Hex dump shorthand."
hwinfo,Epic,"Displays detailed hardware info."
iconvconfig,Rare,"Configures iconv encoding."
installkernel,Epic,"Installs a new kernel."
ionice,Rare,"Sets IO scheduling priority."
ipcalc,Rare,"Calculates IP network info."
isosize,Rare,"Reports ISO file size."
kbdinfo,Rare,"Displays keyboard info."
last,Common,"Shows login history."
lastlog,Rare,"Reports last login per user."
ldconfig,Epic,"Updates shared library cache."
ldd,Epic,"Shows shared library dependencies."
logger,Rare,"Writes messages to syslog."
login,Common,"Authenticates users."
logname,Common,"Prints login name."
losetup,Epic,"Manages loop devices."
lsattr,Epic,"Lists extended attributes."
lsipc,Rare,"Shows IPC resources."
lslocks,Rare,"Lists file locks."
lsmem,Epic,"Lists memory ranges."
lsns,Epic,"Lists namespaces."
mcelog,Legendary,"Logs machine check events."
meson,Epic,"Modern build system tool."
modinfo,Rare,"Shows kernel module info."
modprobe,Rare,"Loads kernel modules."
moreutils,Rare,"Collection of Unix helpers."
namei,Rare,"Follows pathname resolution."
nc,Rare,"The networking swiss army knife."
newgrp,Rare,"Switches primary group."
nl,Rare,"Numbers lines of files."
nologin,Rare,"Prevents interactive logins."
numactl,Epic,"Controls NUMA memory policy."
od,Rare,"Octal/hex dump utility."
parted,Epic,"Partitions disks interactively."
partprobe,Rare,"Informs OS of partition changes."
pgrep,Common,"Finds processes by name."
pkill,Common,"Kills processes by pattern."
pmap,Rare,"Reports process memory usage."
printf,Common,"Formats output precisely."
quota,Rare,"Displays disk quotas."
quotacheck,Epic,"Scans filesystems for quota usage."
quotactl,Legendary,"Controls disk quotas."
rename,Rare,"Batch renames files."
resize2fs,Epic,"Resizes ext filesystems."
rev,Rare,"Reverses lines."
rfkill,Rare,"Manages wireless devices."
rtcwake,Legendary,"Schedules wake from sleep."
runuser,Rare,"Runs commands as another user."
script,Rare,"Records terminal sessions."
scriptreplay,Rare,"Replays recorded sessions."
setcap,Epic,"Sets file capabilities."
setfacl,Epic,"Sets file ACLs."
setpci,Epic,"Configures PCI devices."
setsid,Rare,"Runs in new session."
sftp,Rare,"Secure file transfer."
sha1sum,Rare,"Computes SHA1 hashes."
sha256sum,Common,"Computes SHA256 hashes."
sha512sum,Rare,"Computes SHA512 hashes."
showkey,Rare,"Displays keycodes."
shred,Epic,"Overwrites files securely."
slabtop,Epic,"Displays kernel slab cache."
slattach,Rare,"Attaches serial line."
slogin,Rare,"Secure login alias."
smem,Epic,"Reports memory usage by process."
socat,Epic,"Multipurpose relay tool."
splitvt,Legendary,"Splits virtual terminals."
statx,Legendary,"Advanced file status query."
stdbuf,Rare,"Controls buffering."
strings2,Rare,"Variant of strings."
swapoff,Epic,"Disables swap."
swapon,Epic,"Enables swap."
switch_root,Legendary,"Switches root filesystem."
sync,Common,"Flushes filesystem buffers."
sysctl,Rare,"Configures kernel parameters."
tload,Rare,"Displays system load graph."
ulimit,Common,"Controls resource limits."
unshare,Epic,"Creates new namespaces."
uptimed,Rare,"Tracks system uptime history."
users,Common,"Lists logged-in users."
vdir,Rare,"Verbose directory listing."
vmware-checkvm,Legendary,"Detects virtual environments."
w,Common,"Shows who is logged in and what they are doing."
watchgrep,Epic,"Hypothetical live grep monitor."
whereis,Common,"Locates binaries."
which,Common,"Finds command path."
wipefs,Epic,"Erases filesystem signatures."
zcmp,Rare,"Compares compressed files."
zdiff,Rare,"Diffs compressed files."
zless,Rare,"Views compressed files."
zmore,Rare,"More for compressed files."
bash,Common,"Automates everything. Breaks everything."
mariadb,Rare,"Stores truth in structured form."
basenc,Rare,"Encodes and decodes in unfamiliar tongues."
man,Common,"Reads the manual so you don’t have to guess."
jq,Rare,"Slices JSON with surgical precision."
base64,Common,"Translates data into portable form."
tree,Rare,"Reveals the filesystem in branching form."
if,Common,"Decides what happens next."
print,Rare,"Speaks when the script commands it."
ifup,Rare,"Brings the network to life."
ifdown,Rare,"Silences the network gracefully.""
source,Common,"Pulls another script into the current reality."
mariadb-secure-installation,Epic,"Locks the gates before the database awakens."
HandBrakeCLI,Rare,"Transcodes video with quiet efficiency."
telnet,Legendary,"Connects without encryption — dangerously nostalgic."
ncat,Rare,"Modern netcat with extra tricks."
nc,Common,"The networking swiss army knife."
netcat,Rare,"Pipes data across the wire."
gdb,Epic,"Steps through execution one breakpoint at a time."
dircolors,Rare,"Paints the terminal in controlled hues."
smbpasswd,Rare,"Resets credentials across shared realms."
rmdir,Common,"Removes empty directories with restraint."
dpkg-reconfigure,Rare,"Rewrites package configuration fate."
dpkg,Rare,"Handles packages at the Debian core."
cmake,Epic,"Generates builds from structured intent."
traceroute,Rare,"Maps the path your packets take across the world."
useradd,Rare,"Creates new identities within the system."
psql,Rare,"Speaks fluent PostgreSQL."
timedatectl,Rare,"Controls the system’s sense of time."
ll,Common,"Lists with extra clarity."
groupdel,Rare,"Removes alliances from the system."
prometheus,Epic,"Watches metrics and never forgets."
promtool,Epic,"Validates the watchers of metrics."
mariadb-dump,Rare,"Extracts the database into portable memory."
ssh-keygen,Common,"Forges keys to open distant doors."
exit,Common,"Leaves the shell without a trace."
nmtui,Rare,"Configures networks through a retro interface."